"PROBEID","drug","logFC","adjP","direction","gene_id"
"200791_s_at","mebendazole",0.235247817339499,0.0183916567944253,"Up","IQGAP1"
"200793_s_at","mebendazole",-0.264157176664949,0.00691918898890809,"Down","ACO2"
"200796_s_at","mebendazole",0.375681884155052,0.00155397891166472,"Up","MCL1"
"200797_s_at","mebendazole",0.391935551610016,0.000474778390246809,"Up","MCL1"
"200798_x_at","mebendazole",0.388660627390836,0.0022583796947844,"Up","MCL1"
"200799_at","mebendazole",0.336729026437308,0.00662662977987147,"Up","HSPA1A"
"200800_s_at","mebendazole",0.326032065316581,0.00449015842583292,"Up","HSPA1A"
"200805_at","mebendazole",-0.376229097852287,6.62519042800799e-07,"Down","LMAN2"
"200806_s_at","mebendazole",0.517774781640973,2.89178486657623e-05,"Up","HSPD1"
"200807_s_at","mebendazole",0.282968226800669,0.0104124900458409,"Up","HSPD1"
"200808_s_at","mebendazole",0.739044670573681,1.29436225015105e-10,"Up","ZYX"
"200812_at","mebendazole",0.183736033753983,0.00850207884397453,"Up","CCT7"
"200827_at","mebendazole",0.212105796282572,0.00372760550958093,"Up","PLOD1"
"200837_at","mebendazole",-0.227643054232787,0.0348840223829661,"Down","BCAP31"
"200838_at","mebendazole",0.293947557718712,0.0181493082300631,"Up","CTSB"
"200839_s_at","mebendazole",0.315306729391446,0.0136106813738284,"Up","CTSB"
"200846_s_at","mebendazole",0.357507768183084,0.000673141458403851,"Up","PPP1CA"
"200852_x_at","mebendazole",0.177538610821096,0.0315104060165013,"Up","GNB2"
"200859_x_at","mebendazole",0.352802884006242,0.00272327120927411,"Up","FLNA"
"200872_at","mebendazole",0.625556489628047,0.000642792213797817,"Up","S100A10"
"200874_s_at","mebendazole",0.120253694730919,0.031161432657144,"Up","NOP56"
"200875_s_at","mebendazole",0.547624644760078,1.48001516037246e-08,"Up","NOP56"
"200877_at","mebendazole",0.342091993452455,1.24657238453642e-05,"Up","CCT4"
"200878_at","mebendazole",0.555233039231631,0.00737489453392832,"Up","EPAS1"
"200880_at","mebendazole",0.360799285360055,0.000191962011866582,"Up","DNAJA1"
"200882_s_at","mebendazole",-0.308510841804561,0.00459373818154075,"Down","PSMD4"
"200883_at","mebendazole",-0.362592628004385,9.03348936610277e-06,"Down","UQCRC2"
"200887_s_at","mebendazole",-0.319090782735426,0.00235148572195968,"Down","STAT1"
"200893_at","mebendazole",0.27950329635588,0.000376801486244138,"Up","TRA2B"
"200897_s_at","mebendazole",0.40071436463679,0.0043031131426006,"Up","PALLD"
"200899_s_at","mebendazole",-0.414159139197725,5.81525997459797e-06,"Down","OGA"
"200901_s_at","mebendazole",0.197667754465004,0.0109168770835621,"Up","M6PR"
"200903_s_at","mebendazole",0.242143054426369,0.0356070521610008,"Up","AHCY"
"200906_s_at","mebendazole",0.310065430894628,0.00551269641787351,"Up","PALLD"
"200907_s_at","mebendazole",0.546784785698561,6.5979283766105e-05,"Up","PALLD"
"200910_at","mebendazole",0.179773501758519,0.017976957949853,"Up","CCT3"
"200912_s_at","mebendazole",0.262659456946441,0.000387650543532959,"Up","EIF4A2"
"200916_at","mebendazole",0.499481720270455,0.000814062807989299,"Up","TAGLN2"
"200919_at","mebendazole",0.29557661466994,9.03348936610277e-06,"Up","PHC2"
"200924_s_at","mebendazole",0.289793731068026,5.95130803147317e-05,"Up","SLC3A2"
"200927_s_at","mebendazole",0.234385481672647,0.0476976834271163,"Up","RAB14"
"200931_s_at","mebendazole",0.47415176710675,0.0058853214170136,"Up","VCL"
"200938_s_at","mebendazole",-0.105636951725336,0.0415195981159543,"Down","RERE"
"200943_at","mebendazole",-0.196552932399774,0.0373549253487642,"Down","HMGN1"
"200944_s_at","mebendazole",-0.245707178145898,0.000970105370843577,"Down","HMGN1"
"200946_x_at","mebendazole",0.262678154892199,0.00204871396713581,"Up","GLUD1"
"200951_s_at","mebendazole",-0.443709213702861,0.00749523399627808,"Down","CCND2"
"200952_s_at","mebendazole",-0.302686679164133,0.00667787353333313,"Down","CCND2"
"200962_at","mebendazole",0.448444594618589,0.000908094562495913,"Up","RPL31"
"200969_at","mebendazole",0.464308952942993,1.61973745266701e-05,"Up","SERP1"
"200970_s_at","mebendazole",0.288870112458602,0.00488246686049654,"Up","SERP1"
"200971_s_at","mebendazole",0.34668480283007,8.5645385781129e-05,"Up","SERP1"
"200972_at","mebendazole",-0.574353218791105,0.000648039227437316,"Down","TSPAN3"
"200973_s_at","mebendazole",-0.465622156152197,0.0041557462953013,"Down","TSPAN3"
"200976_s_at","mebendazole",-0.426175273276645,3.34623383015637e-08,"Down","TAX1BP1"
"200977_s_at","mebendazole",-0.412169092759561,8.94668191786544e-06,"Down","TAX1BP1"
"200983_x_at","mebendazole",0.371705129726238,0.0166351525631064,"Up","CD59"
"200984_s_at","mebendazole",0.473392685651696,0.00141550805548553,"Up","CD59"
"200985_s_at","mebendazole",0.583925920842895,0.000348519539895691,"Up","CD59"
"200992_at","mebendazole",0.344923536113081,0.00161344509275027,"Up","IPO7"
"200993_at","mebendazole",0.460189254567206,1.19602941707571e-06,"Up","IPO7"
"200994_at","mebendazole",0.345882008126524,0.000181546531816793,"Up","IPO7"
"200995_at","mebendazole",0.313060331028137,6.81749582441087e-05,"Up","IPO7"
"200996_at","mebendazole",0.231292308989283,0.00288640867232814,"Up","ACTR3"
"201000_at","mebendazole",0.259165928043564,0.00862882942322536,"Up","AARS1"
"201007_at","mebendazole",-0.157217345850634,0.0163647345990233,"Down","HADHB"
"201012_at","mebendazole",0.535673370753258,0.0130944791824374,"Up","ANXA1"
"201017_at","mebendazole",0.20408768954598,0.0299517120624758,"Up","EIF1AX"
"201018_at","mebendazole",0.158868934197509,0.0494775591612712,"Up","EIF1AX"
"201019_s_at","mebendazole",0.211977571401509,0.00799722686113044,"Up","EIF1AX"
"201020_at","mebendazole",0.319608478445506,0.000309626693134602,"Up","YWHAH"
"201021_s_at","mebendazole",0.411786510041386,0.000247229524360956,"Up","DSTN"
"201022_s_at","mebendazole",0.327570240353681,0.000839614218941721,"Up","DSTN"
"201031_s_at","mebendazole",0.232629034192498,0.0104048153171506,"Up","HNRNPH1"
"201032_at","mebendazole",-0.400349500006937,4.66384520294595e-06,"Down","BLCAP"
"201034_at","mebendazole",-0.356247455726398,0.025666585922552,"Down","ADD3"
"201036_s_at","mebendazole",-0.2170567536645,0.026895735324102,"Down","HADH"
"201037_at","mebendazole",0.747341342355483,2.38249567838443e-06,"Up","PFKP"
"201038_s_at","mebendazole",-0.174007993414501,0.0240856718336187,"Down","ANP32A"
"201039_s_at","mebendazole",0.305756590211887,0.00222374065592329,"Up","RAD23A"
"201041_s_at","mebendazole",0.556561253863827,1.10439726623545e-05,"Up","DUSP1"
"201046_s_at","mebendazole",0.316900400918779,0.000461833981954462,"Up","RAD23A"
"201047_x_at","mebendazole",0.310874656307754,0.000348519539895691,"Up","RAB6A"
"201054_at","mebendazole",0.284970773472586,0.00257895886590039,"Up","HNRNPA0"
"201056_at","mebendazole",-0.145643562813059,0.0419385880228605,"Down","GOLGB1"
"201057_s_at","mebendazole",-0.265128935765712,6.49035658805254e-05,"Down","GOLGB1"
"201063_at","mebendazole",0.507092069385137,0.00101858697179237,"Up","RCN1"
"201065_s_at","mebendazole",-0.292554980425118,0.0120383794729128,"Down","GTF2I"
"201075_s_at","mebendazole",-0.192106819347838,0.0124268657327221,"Down","SMARCC1"
"201077_s_at","mebendazole",0.158033663424077,0.0340635924439395,"Up","SNU13"
"201089_at","mebendazole",0.292318924529864,0.00714617726960553,"Up","ATP6V1B2"
"201091_s_at","mebendazole",-0.389210072456793,4.18111275636976e-07,"Down","CBX3"
"201095_at","mebendazole",0.258360529961044,0.0307484852635974,"Up","DAP"
"201096_s_at","mebendazole",0.227819708334281,0.0347324042703824,"Up","ARF4"
"201110_s_at","mebendazole",-0.410730547355747,0.0319942145170242,"Down","THBS1"
"201113_at","mebendazole",0.1754598145606,0.0459670630943933,"Up","TUFM"
"201120_s_at","mebendazole",-0.2656173130576,0.00751905818627977,"Down","PGRMC1"
"201121_s_at","mebendazole",-0.204499808324025,0.0372365971570559,"Down","PGRMC1"
"201127_s_at","mebendazole",-0.167986756574425,0.0335500726176786,"Down","ACLY"
"201129_at","mebendazole",0.191847926213978,0.0375651579638998,"Up","SRSF7"
"201130_s_at","mebendazole",-0.253389385965352,0.045963592425637,"Down","CDH1"
"201131_s_at","mebendazole",-0.733043342413558,0.000681246967367056,"Down","CDH1"
"201132_at","mebendazole",-0.214460067619156,0.0130955043015344,"Down","HNRNPH2"
"201142_at","mebendazole",0.302369903236777,5.32810139697196e-07,"Up","EIF2S1"
"201143_s_at","mebendazole",0.33615391202167,2.25053232135054e-07,"Up","EIF2S1"
"201144_s_at","mebendazole",0.158474504394234,0.0221884227484429,"Up","EIF2S1"
"201168_x_at","mebendazole",0.243393277210359,0.000378789260574051,"Up","ARHGDIA"
"201173_x_at","mebendazole",0.123397061824243,0.043907127580998,"Up","NUDC"
"201174_s_at","mebendazole",-0.166271815942278,0.0267307694053966,"Down","TERF2IP"
"201176_s_at","mebendazole",0.24031511727216,0.0183778494782803,"Up","ARCN1"
"201184_s_at","mebendazole",-0.17102070676603,0.00544538034218744,"Down","CHD4"
"201186_at","mebendazole",-0.389943331819962,0.00094036852640878,"Down","LRPAP1"
"201187_s_at","mebendazole",-0.11186244312189,0.00375070090951721,"Down","ITPR3"
"201191_at","mebendazole",0.138210274667238,0.0318316532416087,"Up","PITPNA"
"201193_at","mebendazole",-0.421263965018251,0.000649052448333086,"Down","IDH1"
"201197_at","mebendazole",0.3060489160342,0.0382243367362057,"Up","AMD1"
"201205_at","mebendazole",-0.102863032060524,0.0114516849039987,"Down","RRBP1"
"201207_at","mebendazole",0.279030276355119,6.93982684359409e-06,"Up","TNFAIP1"
"201208_s_at","mebendazole",0.137844136022937,0.000556909316009439,"Up","TNFAIP1"
"201215_at","mebendazole",0.418746765931195,0.0112948436719717,"Up","PLS3"
"201216_at","mebendazole",0.316555766161538,0.0467078984076664,"Up","ERP29"
