"PROBEID","drug","logFC","adjP","direction","gene_id"
"201021_s_at","Vorinostat",0.565838488664619,1.68530581115643e-09,"Up","DSTN"
"201022_s_at","Vorinostat",0.704399103932532,2.50831753823954e-17,"Up","DSTN"
"201023_at","Vorinostat",-0.259005703541402,0.00123325435521621,"Down","TAF7"
"201024_x_at","Vorinostat",0.328043946118859,0.000434490020902139,"Up","EIF5B"
"201027_s_at","Vorinostat",0.14102258517307,0.0105179731322816,"Up","EIF5B"
"201028_s_at","Vorinostat",-0.488769814798003,4.65082816614901e-05,"Down","CD99"
"201029_s_at","Vorinostat",-0.62087082631187,1.3669998426429e-07,"Down","CD99"
"201031_s_at","Vorinostat",0.270852839022821,0.000103967373640656,"Up","HNRNPH1"
"201032_at","Vorinostat",0.54790199775508,5.42634571133213e-13,"Up","BLCAP"
"201034_at","Vorinostat",0.431255444483254,0.00113797970105991,"Up","ADD3"
"201035_s_at","Vorinostat",0.234046686512943,0.000701840938667117,"Up","HADH"
"201036_s_at","Vorinostat",0.358673784704699,5.46565263646517e-07,"Up","HADH"
"201038_s_at","Vorinostat",-0.736622227647743,2.31643669542962e-24,"Down","ANP32A"
"201039_s_at","Vorinostat",-0.526220079395365,4.79090841036923e-11,"Down","RAD23A"
"201040_at","Vorinostat",0.429946421353968,0.000134151774574261,"Up","GNAI2"
"201043_s_at","Vorinostat",-0.375752438630153,1.91188689121153e-06,"Down","ANP32A"
"201045_s_at","Vorinostat",0.342684071851266,8.18363931269778e-12,"Up","RAB6A"
"201046_s_at","Vorinostat",-0.472010918770542,6.92130805995591e-12,"Down","RAD23A"
"201047_x_at","Vorinostat",0.463121674803665,5.81462978214086e-09,"Up","RAB6A"
"201048_x_at","Vorinostat",0.215398061883763,0.0117967922050096,"Up","RAB6A"
"201051_at","Vorinostat",-0.432972423528108,3.25796454662527e-08,"Down","ANP32A"
"201053_s_at","Vorinostat",0.185853996279496,0.00358646188261236,"Up","PSMF1"
"201054_at","Vorinostat",-0.43402821872038,2.65576541600947e-07,"Down","HNRNPA0"
"201056_at","Vorinostat",0.547342678301062,3.8013891266958e-15,"Up","GOLGB1"
"201057_s_at","Vorinostat",0.407159651229705,1.03507626362848e-09,"Up","GOLGB1"
"201060_x_at","Vorinostat",0.676196879762183,1.60176254038704e-10,"Up","STOM"
"201061_s_at","Vorinostat",0.693373293730535,8.71838407112733e-10,"Up","STOM"
"201062_at","Vorinostat",-0.103660774758737,0.00683764103951427,"Down","STOM"
"201063_at","Vorinostat",-0.86400059440355,9.0008076237488e-11,"Down","RCN1"
"201065_s_at","Vorinostat",-0.495606547040214,6.78520205509835e-09,"Down","GTF2I"
"201067_at","Vorinostat",0.260517814642598,6.14894180374495e-05,"Up","PSMC2"
"201068_s_at","Vorinostat",0.161228669089046,0.000771894100831337,"Up","PSMC2"
